,City,Latitude,Longitude,Max_Temp,Humidity,Cloudiness,Description,Wind_Speed,Country,Date
147,vao,-22.67,167.48,22.340000000000032,67,85,overcast clouds,4.38,NC,2020-05-10 02:26:42
148,pindiga,9.98,10.93,27.5,61,98,overcast clouds,2.65,NG,2020-05-10 02:28:08
149,nanortalik,60.14,-45.24,4.32000000000005,70,4,clear sky,8.36,GL,2020-05-10 02:28:08
150,hambantota,6.12,81.12,28.220000000000027,79,57,broken clouds,1.78,LK,2020-05-10 02:28:08
151,manzhouli,49.6,117.43,10.980000000000018,38,0,clear sky,9.88,CN,2020-05-10 02:28:09
152,mehamn,71.04,27.85,-1.839999999999975,90,72,broken clouds,3.91,NO,2020-05-10 02:28:09
153,maneadero,31.72,-116.57,18.890000000000043,84,84,broken clouds,0.89,MX,2020-05-10 02:24:04
154,homer,59.64,-151.55,14.0,44,20,few clouds,1.5,US,2020-05-10 02:28:10
155,tagusao,9.19,117.81,30.660000000000025,65,100,overcast clouds,0.89,PH,2020-05-10 02:28:10
156,pathein,16.78,94.73,33.06,48,5,clear sky,4.19,MM,2020-05-10 02:28:11
157,comodoro rivadavia,-45.87,-67.5,13.0,66,90,light rain,1.5,AR,2020-05-10 02:25:16
158,ucluelet,48.93,-125.55,22.220000000000027,40,20,few clouds,2.6,CA,2020-05-10 02:28:11
159,garden city,42.33,-83.33,7.78000000000003,33,20,few clouds,3.6,US,2020-05-10 02:28:51
160,jian,27.12,114.98,23.980000000000018,81,91,overcast clouds,3.25,CN,2020-05-10 02:28:51
161,balabac,7.99,117.06,30.670000000000016,68,98,overcast clouds,2.51,PH,2020-05-10 02:28:52
162,ust-ordynskiy,52.8,104.75,11.0,50,100,overcast clouds,1.0,RU,2020-05-10 02:28:53
163,luderitz,-26.65,15.16,13.0,82,0,clear sky,2.6,NA,2020-05-10 02:28:53
164,leningradskiy,69.38,178.42,-1.6599999999999682,96,100,overcast clouds,5.23,RU,2020-05-10 02:28:54
165,pangody,65.85,74.49,1.6899999999999977,86,90,light rain,4.99,RU,2020-05-10 02:28:54
166,kandrian,-6.22,149.55,29.55000000000001,78,94,moderate rain,3.58,PG,2020-05-10 02:28:54
167,bicholim,15.59,73.95,27.870000000000005,74,65,broken clouds,0.55,IN,2020-05-10 02:28:55
168,ranong,9.97,98.63,32.0,75,20,few clouds,1.45,TH,2020-05-10 02:28:55
169,surt,31.21,16.59,20.650000000000034,38,0,clear sky,6.58,LY,2020-05-10 02:28:56
170,ada,43.42,-116.13,26.0,9,1,clear sky,2.1,US,2020-05-10 02:28:56
171,nikolskoye,59.7,30.79,5.560000000000002,56,100,overcast clouds,2.0,RU,2020-05-10 02:24:35
172,portland,-38.33,141.6,13.260000000000048,74,77,light rain,5.28,AU,2020-05-10 02:28:57
173,jhargram,22.45,86.98,31.350000000000023,55,0,clear sky,2.26,IN,2020-05-10 02:28:58
174,hirtshals,57.59,9.96,5.560000000000002,87,100,overcast clouds,5.32,DK,2020-05-10 02:28:58
175,sangar,63.92,127.47,-0.029999999999972715,91,50,scattered clouds,2.35,RU,2020-05-10 02:28:58
176,longyearbyen,78.22,15.64,-9.0,61,40,scattered clouds,5.1,SJ,2020-05-10 02:27:15
177,tarata,-17.47,-70.03,13.150000000000034,54,70,broken clouds,0.63,PE,2020-05-10 02:28:59
178,ostersund,63.18,14.64,1.0,86,100,overcast clouds,2.1,SE,2020-05-10 02:28:59
179,laguna,-28.48,-48.78,17.28000000000003,83,0,clear sky,4.92,BR,2020-05-10 02:29:00
180,banda aceh,5.56,95.32,27.0,83,100,overcast clouds,2.5,ID,2020-05-10 02:29:00
181,cairns,-16.92,145.77,29.0,54,75,broken clouds,6.7,AU,2020-05-10 02:29:01
182,marquette,46.53,-87.63,1.1100000000000136,84,4,clear sky,1.27,US,2020-05-10 02:29:01
183,cosina,8.11,124.62,30.0,76,100,light rain,2.24,PH,2020-05-10 02:29:02
184,sheboygan,43.73,-87.93,9.439999999999998,45,75,broken clouds,1.5,US,2020-05-10 02:21:51
185,albanel,48.88,-72.45,-1.0,58,90,light shower snow,7.2,CA,2020-05-10 02:29:02
186,qinhuangdao,39.93,119.59,21.870000000000005,23,75,broken clouds,6.88,CN,2020-05-10 02:24:37
187,anadyr,64.75,177.48,1.0,95,75,light rain,26.0,RU,2020-05-10 02:26:03
188,chokurdakh,70.63,147.92,-1.4699999999999704,98,59,broken clouds,3.83,RU,2020-05-10 02:26:46
